contig_n50_floor	series	n_genomes_kept	frac_genomes_kept	n_cells	n_false_negative	fn_rate	wilson_lo	wilson_hi	is_d4_bar
0	itpr_present	309	1.0	923	140	0.1517	0.13	0.1763	0
0	ryr_sister	309	1.0	309	42	0.1359	0.1022	0.1786	0
10000	itpr_present	299	0.9676	893	119	0.1333	0.1125	0.1571	0
10000	ryr_sister	299	0.9676	299	35	0.1171	0.0854	0.1584	0
20000	itpr_present	281	0.9094	839	79	0.0942	0.0762	0.1158	0
20000	ryr_sister	281	0.9094	281	23	0.0819	0.0552	0.1198	0
50000	itpr_present	228	0.7379	680	33	0.0485	0.0348	0.0674	0
50000	ryr_sister	228	0.7379	228	5	0.0219	0.0094	0.0503	0
100000	itpr_present	194	0.6278	578	9	0.0156	0.0082	0.0293	0
100000	ryr_sister	194	0.6278	194	1	0.0052	0.0009	0.0286	0
142212	itpr_present	189	0.6117	563	5	0.0089	0.0038	0.0206	1
142212	ryr_sister	189	0.6117	189	0	0.0	0.0	0.0199	1
200000	itpr_present	187	0.6052	557	4	0.0072	0.0028	0.0183	0
200000	ryr_sister	187	0.6052	187	0	0.0	0.0	0.0201	0
500000	itpr_present	180	0.5825	536	4	0.0075	0.0029	0.019	0
500000	ryr_sister	180	0.5825	180	0	0.0	0.0	0.0209	0
1000000	itpr_present	168	0.5437	502	2	0.004	0.0011	0.0144	0
1000000	ryr_sister	168	0.5437	168	0	0.0	0.0	0.0224	0
2000000	itpr_present	153	0.4951	457	1	0.0022	0.0004	0.0123	0
2000000	ryr_sister	153	0.4951	153	0	0.0	0.0	0.0245	0
5000000	itpr_present	112	0.3625	336	0	0.0	0.0	0.0113	0
5000000	ryr_sister	112	0.3625	112	0	0.0	0.0	0.0332	0
10000000	itpr_present	94	0.3042	282	0	0.0	0.0	0.0134	0
10000000	ryr_sister	94	0.3042	94	0	0.0	0.0	0.0393	0
20000000	itpr_present	53	0.1715	159	0	0.0	0.0	0.0236	0
20000000	ryr_sister	53	0.1715	53	0	0.0	0.0	0.0676	0
50000000	itpr_present	15	0.0485	45	0	0.0	0.0	0.0787	0
50000000	ryr_sister	15	0.0485	15	0	0.0	0.0	0.2039	0
