species	organism	seq	role	cell	tissue	runs	runs_detected	reads	junction_reads	decoy_reads	reads_per_million	detected	failed_criteria	library_reads
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	brain	1	1	45	27	0	5.625	1		8000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	gill	2	2	235	126	0	14.688	1		16000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	heart	2	1	44	27	0	2.75	1		16000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	intestine	1	1	84	59	0	10.5	1		8000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	kidney	2	2	211	141	0	13.188	1		16000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	liver	2	1	27	13	0	1.688	1		16000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	muscle	2	2	35	17	0	2.188	1		16000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	ovary	1	1	15	7	0	1.875	1		8000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	spleen	2	2	608	341	0	38.0	1		16000000
deleginoides	Dissostichus eleginoides	ITPR1|deleginoides	failed	ITPR1	unknown	3	3	341	182	0	14.208	1		24000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	brain	1	1	121	89	0	15.125	1		8000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	gill	2	2	523	316	0	32.688	1		16000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	heart	2	2	100	76	0	6.25	1		16000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	intestine	1	1	78	49	0	9.75	1		8000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	kidney	2	2	424	253	0	26.5	1		16000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	liver	2	1	117	59	0	7.312	1		16000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	muscle	2	1	216	112	0	13.5	1		16000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	ovary	1	1	32	24	0	4.0	1		8000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	spleen	2	2	223	112	0	13.938	1		16000000
deleginoides	Dissostichus eleginoides	ITPR2|deleginoides	failed	ITPR2	unknown	3	3	456	247	0	19.0	1		24000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	brain	1	1	55	44	0	6.875	1		8000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	gill	2	2	396	252	0	24.75	1		16000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	heart	2	2	28	16	0	1.75	1		16000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	intestine	1	1	64	50	0	8.0	1		8000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	kidney	2	2	145	82	0	9.062	1		16000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	liver	2	1	7	3	0	0.438	1		16000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	muscle	2	1	150	84	0	9.375	1		16000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	ovary	1	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	8000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	spleen	2	2	250	145	0	15.625	1		16000000
deleginoides	Dissostichus eleginoides	ITPR3|deleginoides	failed	ITPR3	unknown	3	1	80	43	0	3.333	1		24000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	brain	1	1	113	87	0	14.125	1		8000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	gill	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	heart	2	0	1	1	0	0.062	0	junction_reads<2;reads<5	16000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	intestine	1	1	14	12	0	1.75	1		8000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	kidney	2	0	4	1	0	0.25	0	junction_reads<2;reads<5	16000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	liver	2	0	2	0	0	0.125	0	junction_reads<2;reads<5	16000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	muscle	2	0	4	3	0	0.25	0	reads<5	16000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	ovary	1	0	6	0	0	0.75	0	junction_reads<2	8000000
deleginoides	Dissostichus eleginoides	RYR|deleginoides	control_family	RYR	spleen	2	0	0	0	0	0.0	0	junction_reads<2;reads<5;not_above_decoy	16000000
